,company,language,Repositories_count
0,Atlassian,Clojure,64
1,Rent.com,Perl,52
2,Meraki,JavaScript,52
3,Valu Digital Oy,JavaScript,52
4,One Red Dog Media Pty Ltd,Objective-C,44
5,@stampr ,JavaScript,44
6,Jinlabs Ltd,JavaScript,42
7,TBODA Pty Ltd,C#,42
8,LARION Computing,Ruby,42
9,,JavaScript,38
10,Aloudly Education,JavaScript,38
11,Independent contractor,JavaScript,36
12,@AblePear,C,32
13,Atlassian,JavaScript,32
14,Ionata Digital,JavaScript,30
15,Basho Technologies,Ruby,30
16,Financial Times,JavaScript,30
17,Sands Consulting Sdn. Bhd.,JavaScript,30
18,Onefeat,Ruby,30
19,Tascent,Verilog,30
20,Sands Consulting Sdn. Bhd.,PHP,30
21,"Plecco Technologies, Inc.",Ruby,28
22,Zenefits,Ruby,28
23,W+K,JavaScript,27
24,Espians,Go,27
25,BuilderTREND,Java,26
26,Heroku,Ruby,26
27,Happy Nerd Shirts,JavaScript,26
28,"Localize, Techstars, YC",JavaScript,26
29,http://cutbot.net/,Perl,25
30,"AETROS.com, @aetros ",PHP,24
31,Agiliq,Python,24
32,depop,Scala,24
33,Fitbit,Swift,24
34,Clock Limited,Shell,24
35,Tascent,C,24
36,Atlassian,Java,24
37,51NB,Objective-C,23
38,27AE60,JavaScript,22
39,Pragmateam,JavaScript,22
40,DroniX Dev Team,C,22
41,GitHub,Ruby,22
42,GitHub,Erlang,22
43,Cronofy,Ruby,22
44,Kafoodle,PHP,21
45,Independent contractor,Clojure,21
46,MoneyDesktop,Ruby,21
47,@sensiolabs SensioLabs,PHP,21
48,Mesa Funds,C++,20
49,Thousand Eyes Inc.,C++,20
50,Facebook,Python,20
51,Skyscanner,JavaScript,20
52,Modyo,Ruby,20
53,@ThoughtWorksInc,Puppet,20
54,Continuity Control,Ruby,20
55,Google,Go,20
56,Selesti,PHP,20
57,Lanetix,JavaScript,20
58,REA Group,Swift,18
59,Kryptnostic,Shell,18
60,Skulski Research Group,JavaScript,18
61,Ricepo,JavaScript,18
62,GovDelivery,Ruby,18
63,Lowe's Home Improvement,JavaScript,18
64,"Expedia, Inc.",Ruby,18
65,Increments Inc.,Ruby,18
66,Freelance WordPress Dev,PHP,18
67,Catalyst IT,JavaScript,18
68,Google,Emacs Lisp,17
69,Templateninja.net,JavaScript,17
70,Iridescent,Ruby,17
71,Front End Developer @Anafore ,JavaScript,17
72,Ars Machina Tecnologia da Informação Ltda.,Java,17
73,HP,ActionScript,17
74,Fitbit,Objective-C,16
75,@trello ,JavaScript,16
76,Wyndow,PHP,16
77,@ThoughtWorksInc,Ruby,16
78,@EastCoastProduct ,CSS,16
79,Adzerk,Clojure,16
80,S. Quinton Green,JavaScript,16
81,Le Blog de Genma,TeX,16
82,Clowns and Puppets,Python,16
83,"Ustream, Inc.",Java,16
84,Pragmateam,Ruby,16
85,SmartSoftAsia,Ruby,16
86,Facebook,C,16
87,Meltwater,Go,15
88,UC Davis (MS student),C++,15
89,Certified Symfony developer,PHP,15
90,Jobber,Ruby,15
91,Heriot Watt University,Java,15
92,THEMWEBS,JavaScript,15
93,Espians,Python,15
94,https://www.codepan.io,JavaScript,15
95,Greenflex,PHP,15
96,"Pamiris, Inc.",PHP,15
97,Kinertia LLC,Ruby,15
98,JoliCode,JavaScript,15
99,18F + personal projects,JavaScript,14
100,OpenLearning Global Pty Ltd.,Go,14
101,383project,PHP,14
102,Calibreworks,PHP,14
103,Thrive TRM,JavaScript,14
104,@EastCoastProduct ,JavaScript,14
105,SilverStripe,PHP,14
106,"Available (Berlin, Hamburg, Athens, wordwide)",PHP,14
107,Red Hat,HTML,14
108,freelance full-stack dev,Go,14
109,BaristaVentures,Ruby,13
110,Angelic Computing,Ruby,13
111,The Code Venture,JavaScript,13
112,gutocarvalho.net,Shell,13
113,Berlin,Objective-C,13
114,LINE Fukuoka,JavaScript,13
115,Twitter,JavaScript,13
116,Berlin,Swift,12
117,The Guardian,Ruby,12
118,@ThoughtWorksInc,CSS,12
119,@ThoughtWorksInc,Go,12
120,Facebook,Perl,12
121,UC Davis (MS student),Java,12
122,Ionata Digital,PHP,12
123,Stripe,Python,12
124,Data Processors,C#,12
125,Crowdcube,PHP,12
126,LARION Computing,JavaScript,12
127,@ThoughtWorksInc,HTML,12
128,Stripe,Perl,12
129,Paperpile,JavaScript,12
130,Clock Limited,JavaScript,12
131,Secret,JavaScript,12
132,@financeit ,JavaScript,12
133,Sands Consulting Sdn. Bhd.,CSS,12
134,Opal Labs,JavaScript,12
135,LinkedIn,Perl,12
136,Mascoteros.com,PHP,12
137,Fitbit,Ruby,12
138,Basho Technologies,Java,12
139,Basho Technologies,JavaScript,12
140,The Guardian,Java,12
141,Opal Labs,CoffeeScript,12
142,MIT PSFC,Python,12
143,@ThoughtWorksInc,Python,12
144,Machine Doing,Python,12
145,YP Holdings,Ruby,12
146,Systemsmiths,C#,12
147,Cirrus Machina,Clojure,12
148,devCrowd GmbH,C#,12
149,Aconex,JavaScript,12
150,Heroku,JavaScript,12
151,Kryptnostic,JavaScript,12
152,Square,Ruby,12
153,Socure,Python,12
154,DigitalH2O,JavaScript,11
155,GameLearn,JavaScript,11
156,Marcel Digital,Ruby,11
157,JoliCode,PHP,11
158,Solairis Industries,Java,11
159,Shipito LLC,PHP,11
160,G-mode,Perl,11
161,Meruvian,JavaScript,11
162,"Toppa Consulting, LLC",PHP,11
163,MeYou Health,Ruby,11
164,LinkedIn,C,10
165,Google,Python,10
166,Pivotal Software Inc.,JavaScript,10
167,Twitter,Java,10
168,"Parler Haut, Interagir Librement",PHP,10
169,"SRAN Technology Co., Ltd",Ruby,10
170,NLB,JavaScript,10
171,YP Holdings,JavaScript,10
172,Invert Game Studios LLC,C#,10
173,211.90 Consulting LLC,PHP,10
174,OpenLearning Global Pty Ltd.,Objective-C,10
175,"AETROS.com, @aetros ",JavaScript,10
176,Skulski Research Group,Python,10
177,Defective Studios,C#,10
178,@vinted ,PHP,9
179,"University of California, Irvine",JavaScript,9
180,"University of California, Irvine",PHP,9
181,IMMUNIO,JavaScript,9
182,Microsoft,Go,9
183,UC Davis (MS student),C,9
184,Increments Inc.,JavaScript,9
185,depop,Java,9
186,Independent contractor,Java,9
187,Basho Technologies,Elixir,9
188,Nokia gate5,Java,9
189,AbiEzzi Consulting,Ruby,9
190,Independent contractor,TypeScript,9
191,Simmer,Ruby,9
192,Red Hat,JavaScript,9
193,The Guardian,JavaScript,9
194,@Automattic ,JavaScript,9
195,Fictive Kin,JavaScript,9
196,@imin-ltd,CSS,9
197,Jinlabs Ltd,PHP,9
198,Opal Labs,Ruby,9
199,Lainsoft Foundation,JavaScript,9
200,W+K,Ruby,9
201,Carnegie Mellon University,Python,9
202,Coventry University,Swift,9
203,Red Hat,Ruby,9
204,EF Education First,JavaScript,9
205,Tascent,VHDL,9
206,Autodesk,Ruby,9
