company,language,Repositories_count
Atlassian,Clojure,64
Rent.com,Perl,52
Meraki,JavaScript,52
Valu Digital Oy,JavaScript,52
One Red Dog Media Pty Ltd,Objective-C,44
@stampr ,JavaScript,44
Jinlabs Ltd,JavaScript,42
TBODA Pty Ltd,C#,42
LARION Computing,Ruby,42
,JavaScript,38
Aloudly Education,JavaScript,38
Independent contractor,JavaScript,36
@AblePear,C,32
Atlassian,JavaScript,32
Ionata Digital,JavaScript,30
Basho Technologies,Ruby,30
Financial Times,JavaScript,30
Sands Consulting Sdn. Bhd.,JavaScript,30
Onefeat,Ruby,30
Tascent,Verilog,30
Sands Consulting Sdn. Bhd.,PHP,30
"Plecco Technologies, Inc.",Ruby,28
Zenefits,Ruby,28
W+K,JavaScript,27
Espians,Go,27
BuilderTREND,Java,26
Heroku,Ruby,26
Happy Nerd Shirts,JavaScript,26
"Localize, Techstars, YC",JavaScript,26
http://cutbot.net/,Perl,25
"AETROS.com, @aetros ",PHP,24
Agiliq,Python,24
depop,Scala,24
Fitbit,Swift,24
Clock Limited,Shell,24
Tascent,C,24
Atlassian,Java,24
51NB,Objective-C,23
27AE60,JavaScript,22
Pragmateam,JavaScript,22
DroniX Dev Team,C,22
GitHub,Ruby,22
GitHub,Erlang,22
Cronofy,Ruby,22
Kafoodle,PHP,21
Independent contractor,Clojure,21
MoneyDesktop,Ruby,21
@sensiolabs SensioLabs,PHP,21
Mesa Funds,C++,20
Thousand Eyes Inc.,C++,20
Facebook,Python,20
Skyscanner,JavaScript,20
Modyo,Ruby,20
@ThoughtWorksInc,Puppet,20
Continuity Control,Ruby,20
Google,Go,20
Selesti,PHP,20
Lanetix,JavaScript,20
REA Group,Swift,18
Kryptnostic,Shell,18
Skulski Research Group,JavaScript,18
Ricepo,JavaScript,18
GovDelivery,Ruby,18
Lowe's Home Improvement,JavaScript,18
"Expedia, Inc.",Ruby,18
Increments Inc.,Ruby,18
Freelance WordPress Dev,PHP,18
Catalyst IT,JavaScript,18
Google,Emacs Lisp,17
Templateninja.net,JavaScript,17
Iridescent,Ruby,17
Front End Developer @Anafore ,JavaScript,17
Ars Machina Tecnologia da Informação Ltda.,Java,17
HP,ActionScript,17
Fitbit,Objective-C,16
@trello ,JavaScript,16
Wyndow,PHP,16
@ThoughtWorksInc,Ruby,16
@EastCoastProduct ,CSS,16
Adzerk,Clojure,16
S. Quinton Green,JavaScript,16
Le Blog de Genma,TeX,16
Clowns and Puppets,Python,16
"Ustream, Inc.",Java,16
Pragmateam,Ruby,16
SmartSoftAsia,Ruby,16
Facebook,C,16
Meltwater,Go,15
UC Davis (MS student),C++,15
Certified Symfony developer,PHP,15
Jobber,Ruby,15
Heriot Watt University,Java,15
THEMWEBS,JavaScript,15
Espians,Python,15
https://www.codepan.io,JavaScript,15
Greenflex,PHP,15
"Pamiris, Inc.",PHP,15
Kinertia LLC,Ruby,15
JoliCode,JavaScript,15
18F + personal projects,JavaScript,14
OpenLearning Global Pty Ltd.,Go,14
383project,PHP,14
Calibreworks,PHP,14
Thrive TRM,JavaScript,14
@EastCoastProduct ,JavaScript,14
SilverStripe,PHP,14
"Available (Berlin, Hamburg, Athens, wordwide)",PHP,14
Red Hat,HTML,14
freelance full-stack dev,Go,14
BaristaVentures,Ruby,13
Angelic Computing,Ruby,13
The Code Venture,JavaScript,13
gutocarvalho.net,Shell,13
Berlin,Objective-C,13
LINE Fukuoka,JavaScript,13
Twitter,JavaScript,13
Berlin,Swift,12
The Guardian,Ruby,12
@ThoughtWorksInc,CSS,12
@ThoughtWorksInc,Go,12
Facebook,Perl,12
UC Davis (MS student),Java,12
Ionata Digital,PHP,12
Stripe,Python,12
Data Processors,C#,12
Crowdcube,PHP,12
LARION Computing,JavaScript,12
@ThoughtWorksInc,HTML,12
Stripe,Perl,12
Paperpile,JavaScript,12
Clock Limited,JavaScript,12
Secret,JavaScript,12
@financeit ,JavaScript,12
Sands Consulting Sdn. Bhd.,CSS,12
Opal Labs,JavaScript,12
LinkedIn,Perl,12
Mascoteros.com,PHP,12
Fitbit,Ruby,12
Basho Technologies,Java,12
Basho Technologies,JavaScript,12
The Guardian,Java,12
Opal Labs,CoffeeScript,12
MIT PSFC,Python,12
@ThoughtWorksInc,Python,12
Machine Doing,Python,12
YP Holdings,Ruby,12
Systemsmiths,C#,12
Cirrus Machina,Clojure,12
devCrowd GmbH,C#,12
Aconex,JavaScript,12
Heroku,JavaScript,12
Kryptnostic,JavaScript,12
Square,Ruby,12
Socure,Python,12
DigitalH2O,JavaScript,11
GameLearn,JavaScript,11
Marcel Digital,Ruby,11
JoliCode,PHP,11
Solairis Industries,Java,11
Shipito LLC,PHP,11
G-mode,Perl,11
Meruvian,JavaScript,11
"Toppa Consulting, LLC",PHP,11
MeYou Health,Ruby,11
LinkedIn,C,10
Google,Python,10
Pivotal Software Inc.,JavaScript,10
Twitter,Java,10
"Parler Haut, Interagir Librement",PHP,10
"SRAN Technology Co., Ltd",Ruby,10
NLB,JavaScript,10
YP Holdings,JavaScript,10
Invert Game Studios LLC,C#,10
211.90 Consulting LLC,PHP,10
OpenLearning Global Pty Ltd.,Objective-C,10
"AETROS.com, @aetros ",JavaScript,10
Skulski Research Group,Python,10
Defective Studios,C#,10
@vinted ,PHP,9
"University of California, Irvine",JavaScript,9
"University of California, Irvine",PHP,9
IMMUNIO,JavaScript,9
Microsoft,Go,9
UC Davis (MS student),C,9
Increments Inc.,JavaScript,9
depop,Java,9
Independent contractor,Java,9
Basho Technologies,Elixir,9
Nokia gate5,Java,9
AbiEzzi Consulting,Ruby,9
Independent contractor,TypeScript,9
Simmer,Ruby,9
Red Hat,JavaScript,9
The Guardian,JavaScript,9
@Automattic ,JavaScript,9
Fictive Kin,JavaScript,9
@imin-ltd,CSS,9
Jinlabs Ltd,PHP,9
Opal Labs,Ruby,9
Lainsoft Foundation,JavaScript,9
W+K,Ruby,9
Carnegie Mellon University,Python,9
Coventry University,Swift,9
Red Hat,Ruby,9
EF Education First,JavaScript,9
Tascent,VHDL,9
Autodesk,Ruby,9
Red Hat,Python,8
The Tandem Group,Ruby,8
Fitbit,JavaScript,8
Heriot Watt University,JavaScript,8
Inbank Technologies,Ruby,8
LinkedIn,Python,8
https://angel.co/trucktrack,JavaScript,8
Defective Studios,Java,8
Happy Nerd Shirts,Ruby,8
CEF,Java,8
Rational Interaction,JavaScript,8
Mesa Funds,C#,8
Agiliq,JavaScript,8
Secret,Ruby,8
OpenLearning Global Pty Ltd.,Java,8
"Opt-6 Products, LLC",Objective-C,8
Twitter,Scala,8
Rackspace,Python,8
GameLearn,Java,8
Axion Commerce,JavaScript,8
TBODA Pty Ltd,JavaScript,8
Logic Squad,Java,8
DTS,Java,8
Ricepo,C#,8
"Android Engineer @ Musixmatch, Android GDE",Java,8
Vide Infra Group,JavaScript,8
GitHub,C,8
meliuz,Python,8
YP Holdings,Go,8
La Magia en Arda,PHP,8
Freelance WordPress Dev,CSS,8
@DXMarkets ,Python,8
REA Group,JavaScript,8
"Ustream, Inc.",JavaScript,8
MeYou Health,JavaScript,8
Square,Python,8
Stripe,C,8
Pivotal Software Inc.,Ruby,8
Appetica,Jupyter Notebook,8
Appetica,JavaScript,8
Modyo,JavaScript,8
Nokia gate5,Ruby,8
Appetica,C++,8
Driw AS,JavaScript,8
Simpleweb,JavaScript,8
Front End Developer @Anafore ,HTML,8
18F + personal projects,Python,8
Thousand Eyes Inc.,Python,8
HPE,Nimrod,7
Shutterstock,Ruby,7
Simmer,JavaScript,7
Owl Unit,Clojure,7
Lainsoft Foundation,Objective-C,7
Kushview,C++,7
"Global Data 360, Inc.",XQuery,7
Red Hat,CSS,7
Transmode,Shell,7
Webpuppies Singapore,Ruby,7
Google,Java,7
University of Pisa,C++,7
DroniX Dev Team,JavaScript,6
HPE,Python,6
The.Berlin.Factor,Java,6
Freelance WordPress Dev,JavaScript,6
Square,R,6
Square,JavaScript,6
Marcel Digital,Shell,6
"Expedia, Inc.",Java,6
"Plecco Technologies, Inc.",Shell,6
Socure,Ruby,6
Defective Studios,JavaScript,6
Espians,JavaScript,6
"Toppa Consulting, LLC",Ruby,6
Codezilla Limited UK - Consulting,PHP,6
The Guardian,Scala,6
Espians,Emacs Lisp,6
Machine Doing,JavaScript,6
Escenic,Emacs Lisp,6
Sugoi Software,Python,6
DigitalH2O,Python,6
HP,Java,6
Electric Labs,Objective-C,6
Greenflex,JavaScript,6
ElasticBox Inc,Python,6
Skulski Research Group,Ruby,6
Tascent,C++,6
Siemer for Hire,C#,6
Cospix LLC,Shell,6
Coventry University,JavaScript,6
DroniX Dev Team,Lua,6
Ferocia,Ruby,6
Star Ruby Media,Ruby,6
Clock Limited,Python,6
Kryptnostic,Python,6
blaste,Python,6
Kryptnostic,Groovy,6
Kryptnostic,Java,6
Sands Consulting Sdn. Bhd.,HTML,6
Kryptnostic,PHP,6
"Ustream, Inc.",Go,6
Basho Technologies,CSS,6
"Rakuten, Inc.",Erlang,6
Basho Technologies,Objective-C,6
Independent contractor,Ruby,6
Blue Bits,Java,6
Blue Horseshoe,JavaScript,6
University of Stavanger,Java,6
Schneider Electric DMS NS,JavaScript,6
Kryptnostic,CSS,6
blaste,C,6
REA Group,C++,6
"Zerrtech, LLC",JavaScript,6
Yagni Technologies,C++,6
Ricepo,Swift,6
NLB,Shell,6
W+K,C++,6
NLB,Python,6
NLB,Java,6
NLB,HTML,6
W+K,Shell,6
Jinlabs Ltd,C,6
Alliants,Elixir,6
Alfresco,Ruby,6
Clock Limited,C++,6
Ricepo,C++,6
@imin-ltd,Java,6
@imin-ltd,PHP,6
LBNL,Perl,6
@AblePear,Swift,6
Clock Limited,C,6
18F + personal projects,CSS,6
Heroku,VimL,6
Nokia gate5,JavaScript,6
UC Davis (MS student),R,6
UC Davis (MS student),Ruby,6
UC Davis (MS student),Shell,6
Umbo CV,C++,6
@financeit ,HTML,6
Catalyst IT,Python,6
Lainsoft Foundation,Ruby,6
Catalyst IT,PHP,6
Nokia,C++,6
Ricepo,Objective-C,6
freelance full-stack dev,JavaScript,6
IMMUNIO,Go,6
glfernando,C,6
Studio Sugarfree,JavaScript,5
Odnoklassniki,Java,5
Futurice Oy,JavaScript,5
